time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=51, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=54, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=56, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=59, tm_wday=6, tm_yday=199, tm_isdst=0)C59 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=2, tm_wday=6, tm_yday=199, tm_isdst=0)C64 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=4, tm_wday=6, tm_yday=199, tm_isdst=0)C65 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=7, tm_wday=6, tm_yday=199, tm_isdst=0)C59 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=9, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=12, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=14, tm_wday=6, tm_yday=199, tm_isdst=0)C61 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=17, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=19, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=22, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=24, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=27, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=29, tm_wday=6, tm_yday=199, tm_isdst=0)C60 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=32, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=23, tm_sec=34, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
